,param_initialization,qaoa_variant,optimizer,depth,graph_size,graph_name,time_elapsed,quantum_func_evals,obj_func_evolution,quantum_solution,quantum_obj_value,classic_solution,classic_value
10,uniform,vanilla,True,3,5,D]{,426.863721370697,42,"[array(0.06715572), array(0.13525996), array(0.57716312), array(0.06504049), array(0.13060282), array(0.65498043), array(0.05452314), array(0.27953513), array(0.13721674), array(0.03581752), array(0.05490702), array(0.11450574), array(-0.05981644), array(0.0299843), array(0.03165369), array(-0.00705984), array(0.07099016), array(0.00152763), array(-0.03847529), array(0.0361126), array(-0.072347), array(-0.03084813), array(-0.0039014), array(-0.03142284), array(-0.02871337), array(-0.03387214), array(-0.0051689), array(-0.01811618), array(0.01099628), array(0.03432462), array(-0.00837455), array(-0.06137686), array(-0.04075664), array(-0.02283286), array(-0.01929439), array(-0.07345742), array(-0.02215066), array(-0.05306901), array(0.01303617), array(-0.04783094), array(-0.0336751), array(-0.05325393)]","[1, 1, 0, 0, 0]",3.876496582736822,"[1.0, 1.0, 0, 0, 0]",3.876496582736822
11,uniform,vanilla,True,3,5,DEk,367.0289764404297,36,"[array(0.02414799), array(-0.49885216), array(0.00795456), array(-0.06890902), array(-0.37949082), array(-0.44957462), array(-0.20769559), array(-0.18123787), array(-0.39998282), array(-0.48613664), array(-0.44866835), array(-0.52830766), array(-0.49259449), array(-0.55512781), array(-0.54913594), array(-0.4993505), array(-0.52352196), array(-0.53554613), array(-0.5421125), array(-0.55858038), array(-0.51726554), array(-0.51875464), array(-0.54371229), array(-0.52328587), array(-0.51491326), array(-0.51111394), array(-0.48923874), array(-0.5320585), array(-0.5211805), array(-0.51788151), array(-0.48078374), array(-0.52263791), array(-0.55460239), array(-0.53612748), array(-0.52384526), array(-0.56280157)]","[0, 0, 1, 1, 0]",2.3828480630571605,"[0, 1.0, 0, 0, 1.0]",2.408056899817945
12,uniform,vanilla,True,3,5,D~{,497.8843207359314,49,"[array(0.33617323), array(0.49440212), array(0.13257277), array(0.17685257), array(0.4044405), array(0.1193544), array(0.12265975), array(0.09956825), array(0.03647819), array(-0.02488785), array(0.03099335), array(0.12996696), array(0.01116544), array(-0.09060755), array(-0.01391061), array(0.02119494), array(-0.03581149), array(-0.00121718), array(-0.19157396), array(-0.04715651), array(-0.20446651), array(-0.23971808), array(-0.25749256), array(-0.25837897), array(-0.1175848), array(-0.32176642), array(-0.26964078), array(-0.2160002), array(-0.29092556), array(-0.30291515), array(-0.27656825), array(-0.24270327), array(-0.308128), array(-0.26535672), array(-0.21569791), array(-0.24065358), array(-0.28290585), array(-0.30014454), array(-0.23675426), array(-0.29100933), array(-0.2811098), array(-0.28103886), array(-0.2370224), array(-0.28056099), array(-0.29405853), array(-0.28182301), array(-0.3276879), array(-0.27008049), array(-0.23662091)]","[1, 0, 0, 0, 1]",3.667585436702109,"[1.0, 0, 0, 0, 1.0]",3.667585436702109
13,uniform,vanilla,True,3,5,DQ{,450.25335788726807,44,"[array(0.01789499), array(0.05574235), array(0.03206715), array(0.11908399), array(-0.05369741), array(-0.10164955), array(-0.02821071), array(0.08695288), array(-0.10529195), array(-0.1108932), array(-0.14560505), array(-0.1814395), array(-0.16933693), array(-0.11266233), array(-0.19720985), array(-0.16452442), array(-0.17747272), array(-0.1766991), array(-0.21958835), array(-0.21180801), array(-0.2225615), array(-0.15754794), array(-0.20264811), array(-0.18484887), array(-0.20651409), array(-0.19162584), array(-0.19120141), array(-0.22389629), array(-0.20691451), array(-0.17261924), array(-0.23769303), array(-0.14789267), array(-0.20636033), array(-0.17281209), array(-0.1769963), array(-0.11982238), array(-0.16769337), array(-0.2229438), array(-0.15507552), array(-0.16706996), array(-0.18848361), array(-0.16456889), array(-0.19480851), array(-0.14813183)]","[0, 0, 1, 0, 1]",2.5641630700197084,"[1.0, 1.0, 0, 1.0, 0]",2.5641630700197084
14,uniform,vanilla,True,3,5,DQw,489.71599221229553,48,"[array(0.09404757), array(0.11234274), array(-0.35669382), array(0.37856665), array(-0.306145), array(-0.10471862), array(-0.06383952), array(-0.43473649), array(-0.34539085), array(-0.42197543), array(-0.06497886), array(-0.44227913), array(-0.3287414), array(-0.46997748), array(-0.20207099), array(-0.44865615), array(-0.37585914), array(-0.21416101), array(-0.38909071), array(-0.47657635), array(-0.46555214), array(-0.4801631), array(-0.49720106), array(-0.43206759), array(-0.48302359), array(-0.48406502), array(-0.48691531), array(-0.49261558), array(-0.49792782), array(-0.48013412), array(-0.4876036), array(-0.49765925), array(-0.50860412), array(-0.50169045), array(-0.49322445), array(-0.50777209), array(-0.48670949), array(-0.52792101), array(-0.49691692), array(-0.51636091), array(-0.50034784), array(-0.50699576), array(-0.5278169), array(-0.49676879), array(-0.53103144), array(-0.51331335), array(-0.50157033), array(-0.49436473)]","[0, 1, 1, 0, 0]",2.1394100541664534,"[1.0, 1.0, 1.0, 0, 0]",2.162604364433657
15,uniform,vanilla,True,3,5,DE{,449.0736038684845,44,"[array(0.05373989), array(-0.05971045), array(-0.03901873), array(0.01265777), array(0.00675186), array(0.41370231), array(0.07679383), array(0.01560316), array(-0.04508565), array(-0.01214604), array(0.0070221), array(-0.15367735), array(-0.14822051), array(-0.10217562), array(-0.23342923), array(-0.21869932), array(-0.18151349), array(-0.19034321), array(-0.16820986), array(-0.27300134), array(-0.18513362), array(-0.25982075), array(-0.21964839), array(-0.173771), array(-0.27612985), array(-0.28714204), array(-0.26784429), array(-0.30416869), array(-0.22824546), array(-0.24380124), array(-0.26954565), array(-0.26947303), array(-0.24921194), array(-0.26959715), array(-0.24526865), array(-0.24264882), array(-0.27035407), array(-0.23060209), array(-0.27172854), array(-0.28693601), array(-0.25656553), array(-0.26199233), array(-0.29069394), array(-0.25691774)]","[0, 0, 0, 1, 1]",2.986385792249842,"[1.0, 1.0, 1.0, 0, 0]",2.986385792249842
16,uniform,vanilla,True,3,5,DQo,416.0781519412994,41,"[array(0.09684782), array(0.2057991), array(-0.08930447), array(0.32215217), array(-0.37717538), array(-0.28084063), array(-0.38972938), array(-0.0346838), array(-0.19789458), array(-0.46596851), array(-0.2561984), array(-0.42602167), array(-0.48285215), array(-0.47197585), array(-0.49736837), array(-0.43383579), array(-0.58789348), array(-0.56733251), array(-0.57200464), array(-0.57245461), array(-0.5678019), array(-0.58035887), array(-0.54985723), array(-0.5923831), array(-0.56695894), array(-0.61059494), array(-0.56132359), array(-0.56120837), array(-0.60479063), array(-0.57946009), array(-0.58462612), array(-0.55272998), array(-0.56093722), array(-0.55481469), array(-0.56901997), array(-0.60266037), array(-0.59126156), array(-0.5466748), array(-0.57467159), array(-0.58315306), array(-0.60617843)]","[1, 1, 0, 0, 0]",2.2638996581241804,"[1.0, 1.0, 0, 0, 0]",2.2638996581241804
17,uniform,vanilla,True,3,5,D^{,439.5678186416626,43,"[array(-0.00724759), array(0.1759942), array(-0.02493134), array(-0.02402327), array(0.01297185), array(-0.00730437), array(-0.08353579), array(0.04375931), array(-0.04335449), array(-0.12996552), array(-0.12956616), array(-0.07434132), array(-0.14453278), array(-0.11860699), array(-0.14425216), array(-0.17324753), array(-0.11204168), array(-0.15315325), array(-0.13544499), array(-0.10217251), array(-0.13295019), array(-0.14211777), array(-0.125907), array(-0.17868578), array(-0.12008817), array(-0.12294737), array(-0.16453501), array(-0.12377116), array(-0.14957616), array(-0.14080702), array(-0.13920876), array(-0.11734305), array(-0.17518041), array(-0.21840714), array(-0.10689803), array(-0.17609228), array(-0.19068692), array(-0.14054588), array(-0.15829993), array(-0.15036856), array(-0.13977443), array(-0.14468791), array(-0.09406675)]","[1, 1, 0, 1, 0]",3.77240881398057,"[0, 0, 1.0, 0, 1.0]",3.7724088139805696
18,uniform,vanilla,True,3,5,DT{,388.9457128047943,38,"[array(-0.60078709), array(0.08248192), array(0.00306671), array(-0.07940162), array(-0.21469092), array(-0.57611636), array(-0.50403077), array(0.1499663), array(-0.46305342), array(-0.41834781), array(-0.57215131), array(-0.5869629), array(-0.53126633), array(-0.52378784), array(-0.53311242), array(-0.57912848), array(-0.60209453), array(-0.5451223), array(-0.56555227), array(-0.59916814), array(-0.61309454), array(-0.55924968), array(-0.59957224), array(-0.58141369), array(-0.55803092), array(-0.62174293), array(-0.59067758), array(-0.58023018), array(-0.5562313), array(-0.55949541), array(-0.63142277), array(-0.58863003), array(-0.62625589), array(-0.61204473), array(-0.58654135), array(-0.62007159), array(-0.6191609), array(-0.58926226)]","[0, 1, 1, 1, 0]",3.132631682083184,"[0, 1.0, 1.0, 1.0, 0]",3.1326316820831845
19,uniform,vanilla,True,3,5,D]w,467.576979637146,46,"[array(0.01603316), array(0.0857528), array(0.15062726), array(-0.18484757), array(-0.28548478), array(-0.27199596), array(-0.1518589), array(-0.4134271), array(-0.13264901), array(-0.18928214), array(0.01268403), array(-0.41814507), array(-0.4041725), array(-0.42033405), array(-0.43632079), array(-0.09320373), array(-0.39846038), array(-0.40015026), array(-0.48269635), array(-0.46371741), array(-0.45464998), array(-0.49289499), array(-0.49517712), array(-0.47300062), array(-0.52555665), array(-0.42140207), array(-0.56440535), array(-0.50242926), array(-0.51440912), array(-0.56293353), array(-0.55578007), array(-0.4881926), array(-0.5238123), array(-0.52163198), array(-0.55558409), array(-0.54904214), array(-0.55219197), array(-0.57400063), array(-0.55282192), array(-0.57289428), array(-0.52337025), array(-0.51702048), array(-0.54254021), array(-0.54174002), array(-0.53040511), array(-0.50735009)]","[0, 0, 1, 1, 1]",3.5207415415368595,"[0, 0, 1.0, 1.0, 1.0]",3.5207415415368595
20,uniform,vanilla,True,3,6,EQyw,430.7847828865051,42,"[array(0.47030162), array(-0.31452128), array(-0.14517733), array(-0.34969779), array(0.09061783), array(0.04635944), array(-0.006959), array(0.11899761), array(-0.36219669), array(-0.2392011), array(-0.21140528), array(-0.34059146), array(-0.36349927), array(-0.25991833), array(-0.20894513), array(-0.3696781), array(-0.42760385), array(-0.25363883), array(-0.3044497), array(-0.46941025), array(-0.36316938), array(-0.53661477), array(-0.52466605), array(-0.48910026), array(-0.50424739), array(-0.496169), array(-0.4350025), array(-0.51581541), array(-0.45213275), array(-0.50298166), array(-0.49483139), array(-0.41335755), array(-0.48904952), array(-0.5071313), array(-0.51027191), array(-0.4809346), array(-0.47750924), array(-0.50515052), array(-0.52348382), array(-0.538439), array(-0.46234997), array(-0.52295198)]","[0, 0, 0, 1, 1, 1]",4.231702714669991,"[1.0, 1.0, 0, 0, 0, 1.0]",4.432487862987722
21,uniform,vanilla,True,3,6,E?Bw,462.5089383125305,44,"[array(0.25658716), array(-0.53268308), array(-0.16031868), array(-0.38732446), array(-0.37980436), array(-0.37595436), array(-0.33158372), array(0.06486002), array(-0.54849814), array(-0.22847612), array(-0.49598995), array(-0.62729242), array(-0.62633493), array(-0.5302767), array(-0.68936184), array(-0.64970203), array(-0.64026931), array(-0.66272267), array(-0.65536901), array(-0.62623099), array(-0.72233818), array(-0.6481173), array(-0.67856263), array(-0.66254838), array(-0.63435538), array(-0.69344913), array(-0.71659451), array(-0.72110328), array(-0.68004835), array(-0.70966596), array(-0.70109053), array(-0.68612408), array(-0.74300612), array(-0.68238842), array(-0.6449147), array(-0.73218855), array(-0.67342506), array(-0.71148018), array(-0.67376215), array(-0.77545548), array(-0.73322789), array(-0.69420326), array(-0.66172806), array(-0.70018663)]","[0, 0, 0, 0, 0, 1]",2.762376409118102,"[1.0, 1.0, 1.0, 1.0, 1.0, 0]",2.762376409118102
22,uniform,vanilla,True,3,6,EQzO,381.80927658081055,37,"[array(-0.15570072), array(-0.16180356), array(-0.06212465), array(0.39343036), array(-0.18691983), array(-0.08988705), array(-0.17225438), array(0.04845845), array(-0.04252055), array(-0.16937422), array(-0.21645935), array(-0.25691471), array(-0.19864279), array(-0.21990828), array(-0.21585903), array(-0.18416509), array(-0.21935823), array(-0.21673122), array(-0.19840422), array(-0.22237963), array(-0.21317706), array(-0.21682872), array(-0.25980141), array(-0.22104559), array(-0.24675054), array(-0.21547934), array(-0.22997456), array(-0.22044818), array(-0.21641991), array(-0.23404413), array(-0.24408088), array(-0.24629974), array(-0.20822367), array(-0.24031149), array(-0.23325648), array(-0.21733932), array(-0.24754694)]","[0, 0, 1, 0, 0, 1]",1.740939339367279,"[0, 1.0, 1.0, 0, 0, 1.0]",2.1902312099348644
23,uniform,vanilla,True,3,6,EEzO,471.6058552265167,46,"[array(-0.11465956), array(-0.10690509), array(-0.46977395), array(0.02275837), array(-0.06803978), array(-0.40380334), array(-0.45985258), array(-0.45347752), array(-0.52773145), array(-0.54382487), array(-0.44177839), array(-0.43771696), array(-0.55713335), array(-0.42888544), array(-0.57319962), array(-0.47426684), array(-0.51589457), array(-0.51069004), array(-0.5304919), array(-0.5752849), array(-0.51195542), array(-0.54909554), array(-0.53618891), array(-0.57110045), array(-0.56869647), array(-0.51939792), array(-0.51592633), array(-0.55859658), array(-0.55956799), array(-0.5842952), array(-0.52285092), array(-0.55398337), array(-0.54896482), array(-0.5491673), array(-0.54500423), array(-0.56128245), array(-0.55523656), array(-0.54328603), array(-0.50823028), array(-0.54573545), array(-0.5767662), array(-0.55804218), array(-0.56335189), array(-0.54233288), array(-0.58028375), array(-0.56012689)]","[1, 0, 0, 0, 1, 1]",3.89179686640842,"[1.0, 1.0, 1.0, 1.0, 0, 0]",3.909640658441659
24,uniform,vanilla,True,3,6,ECYW,483.4210960865021,47,"[array(0.33098408), array(-0.48880453), array(-0.31466355), array(-0.31950366), array(0.01764424), array(-0.504152), array(-0.51322242), array(0.16391431), array(-0.24021592), array(-0.44095095), array(-0.54106514), array(-0.53506116), array(-0.24811029), array(-0.50383322), array(-0.53794312), array(-0.39922755), array(-0.48884478), array(-0.55257138), array(-0.50783053), array(-0.55186894), array(-0.53748764), array(-0.61341363), array(-0.61931125), array(-0.58217755), array(-0.57774594), array(-0.61973175), array(-0.62334834), array(-0.57369972), array(-0.59763176), array(-0.60942446), array(-0.57966477), array(-0.59330754), array(-0.58678533), array(-0.6170371), array(-0.6097354), array(-0.59953998), array(-0.56752783), array(-0.612541), array(-0.58875345), array(-0.55615469), array(-0.60591319), array(-0.67818072), array(-0.62300882), array(-0.6361645), array(-0.63686138), array(-0.615726), array(-0.62170037)]","[0, 1, 1, 1, 0, 1]",3.3609846424695475,"[0, 1.0, 1.0, 1.0, 0, 1.0]",3.360984642469548
25,uniform,vanilla,True,3,6,ECvo,310.0386130809784,30,"[array(0.05557259), array(-0.18696513), array(-0.02637665), array(-0.06456581), array(-0.14745357), array(-0.1236004), array(-0.11272214), array(-0.07034104), array(-0.10766295), array(-0.10291523), array(-0.14700388), array(-0.13648592), array(-0.15638313), array(-0.16865185), array(-0.1082852), array(-0.11104244), array(-0.08745016), array(-0.11783316), array(-0.15113671), array(-0.11448801), array(-0.1302408), array(-0.1235723), array(-0.08968412), array(-0.1096046), array(-0.13648874), array(-0.15927282), array(-0.1354424), array(-0.07039052), array(-0.14378317), array(-0.16412933)]","[1, 1, 0, 0, 0, 0]",2.7390012680531117,"[1.0, 1.0, 1.0, 0, 0, 0]",3.4059973213966
26,uniform,vanilla,True,3,6,EC~o,472.8603849411011,46,"[array(0.09651864), array(0.43039051), array(-0.27023084), array(-0.33020887), array(-0.21599255), array(0.00396321), array(-0.2477607), array(0.00465906), array(-0.23251926), array(-0.39191225), array(-0.34001323), array(-0.19854425), array(-0.55038941), array(-0.20605351), array(-0.43687829), array(-0.51357984), array(-0.49548071), array(-0.53205718), array(-0.50500395), array(-0.503635), array(-0.54026465), array(-0.53615217), array(-0.50460788), array(-0.52170137), array(-0.5213786), array(-0.53666966), array(-0.52969542), array(-0.4711559), array(-0.54861864), array(-0.55680587), array(-0.51120992), array(-0.56381353), array(-0.52816792), array(-0.54564812), array(-0.53759207), array(-0.5303323), array(-0.50744471), array(-0.54572146), array(-0.56393536), array(-0.5559131), array(-0.49600932), array(-0.54807881), array(-0.56826858), array(-0.57016471), array(-0.45084163), array(-0.56248058)]","[0, 0, 0, 1, 1, 1]",4.534465996966041,"[1.0, 1.0, 1.0, 0, 0, 0]",4.534465996966041
27,uniform,vanilla,True,3,6,EQj_,429.56009125709534,42,"[array(-0.19891114), array(-0.22469439), array(-0.16005099), array(-0.31552015), array(-0.21075534), array(0.09384615), array(-0.26463836), array(-0.22605986), array(-0.28163908), array(-0.22145782), array(-0.12323288), array(-0.33185413), array(-0.36469629), array(-0.33696264), array(-0.37945335), array(-0.29314267), array(-0.1095283), array(-0.36184351), array(-0.43234347), array(-0.4028821), array(-0.33823414), array(-0.39542651), array(-0.39180024), array(-0.32969787), array(-0.45103608), array(-0.38239592), array(-0.48105732), array(-0.44715695), array(-0.40599589), array(-0.37449359), array(-0.44885088), array(-0.41100245), array(-0.36360839), array(-0.39312998), array(-0.41497157), array(-0.41824663), array(-0.40272062), array(-0.41229211), array(-0.42957673), array(-0.45772568), array(-0.42337734), array(-0.48997889)]","[1, 1, 1, 0, 0, 0]",3.831527294929793,"[1.0, 1.0, 1.0, 0, 0, 0]",3.8315272949297934
28,uniform,vanilla,True,3,6,EQzo,407.4414434432984,39,"[array(0.28797828), array(0.20226918), array(-0.24453461), array(0.50768662), array(-0.15625291), array(0.05206223), array(0.32507674), array(-0.27103074), array(-0.39012033), array(-0.14971811), array(-0.32311853), array(-0.11993543), array(-0.40418557), array(-0.42984058), array(-0.45850586), array(-0.33351243), array(-0.26661551), array(-0.47823381), array(-0.43562571), array(-0.47190319), array(-0.35959681), array(-0.46318463), array(-0.47247529), array(-0.39793564), array(-0.44459648), array(-0.45540254), array(-0.48208583), array(-0.48119501), array(-0.45941116), array(-0.45633579), array(-0.43804268), array(-0.45779517), array(-0.47119332), array(-0.45726785), array(-0.48635578), array(-0.41840695), array(-0.42609908), array(-0.46450552), array(-0.43072291)]","[0, 0, 1, 1, 1, 0]",3.361531801076597,"[1.0, 1.0, 0, 0, 0, 1.0]",3.3615318010765973
